image,volume,K,num_pixels,psnr_plain_cipher_db,psnr_plain_wrongkey_db,psnr_roundtrip_db
2.2.17,aerials,216,1048576,9.3521,9.3550,Inf
2.2.18,aerials,216,1048576,9.1843,9.1872,Inf
2.2.19,aerials,216,1048576,9.0185,9.0217,Inf
2.2.20,aerials,216,1048576,9.3529,9.3597,Inf
2.2.21,aerials,216,1048576,8.6021,8.6039,Inf
2.2.22,aerials,216,1048576,8.6518,8.6574,Inf
2.2.23,aerials,216,1048576,8.7485,8.7507,Inf
2.2.24,aerials,216,1048576,9.2777,9.2800,Inf
wash-ir,aerials,216,5062500,8.5150,8.5180,Inf
4.1.01,misc,240,65536,7.2921,7.3107,Inf
4.1.02,misc,240,65536,6.2365,6.2612,Inf
4.1.03,misc,240,65536,9.9446,9.9623,Inf
4.1.04,misc,240,65536,8.8217,8.8441,Inf
4.1.05,misc,240,65536,8.9289,8.9254,Inf
4.1.06,misc,240,65536,8.1642,8.1674,Inf
4.1.07,misc,240,65536,8.5944,8.6039,Inf
4.1.08,misc,240,65536,8.6284,8.6554,Inf
4.2.01,misc,240,262144,7.6311,7.6432,Inf
4.2.03,misc,240,262144,8.7730,8.7850,Inf
4.2.05,misc,240,262144,7.9842,7.9884,Inf
4.2.06,misc,240,262144,8.0821,8.0866,Inf
