K,flipped_key_bit,npcr_key_packed,uaci_key_packed,psnr_cipher_pair_db
288,63,99.984741,33.171791,7.7662
288,76,99.996948,33.353526,7.7577
288,88,99.995422,33.258507,7.7517
288,101,99.990845,33.217915,7.7566
288,113,99.995422,33.343697,7.7540
288,126,99.993896,33.300467,7.7574
288,138,99.992371,33.206045,7.7481
288,151,99.993896,33.150288,7.7526
288,163,99.989319,33.426882,7.7598
288,176,99.993896,33.303376,7.7267
288,188,99.995422,33.399112,7.7351
288,201,99.989319,33.376261,7.7547
288,213,99.989319,33.318366,7.7538
288,226,99.992371,33.272665,7.7536
288,238,99.992371,33.305627,7.7421
288,251,99.987793,33.284070,7.7465
288,263,99.989319,33.380795,7.7377
288,276,99.992371,33.367017,7.7452
288,288,99.992371,33.328733,7.7278
312,1,99.990845,33.419642,7.7268
312,15,99.992371,33.496821,7.7393
312,28,99.990845,33.383943,7.7618
312,42,99.992371,33.319557,7.7564
312,55,99.984741,33.283153,7.7647
312,69,99.981689,33.373687,7.7535
312,82,99.993896,33.404506,7.7606
312,96,99.996948,33.259263,7.7592
312,109,99.989319,33.337102,7.7590
312,123,99.986267,33.381551,7.7539
312,136,99.993896,33.428724,7.7517
312,150,99.992371,33.403921,7.7423
312,163,99.992371,33.232784,7.7510
312,177,99.995422,33.409981,7.7428
312,190,99.993896,33.346874,7.7528
312,204,99.995422,33.280264,7.7643
312,217,99.987793,33.424739,7.7620
312,231,99.986267,33.385527,7.7473
312,244,99.992371,33.377336,7.7397
312,258,99.990845,33.364454,7.7464
312,271,99.987793,33.398055,7.7429
312,285,99.989319,33.260949,7.7521
312,298,99.992371,33.324345,7.7529
312,312,99.990845,33.262706,7.7514
336,1,99.989319,33.236327,7.7705
336,16,99.990845,33.408305,7.7396
336,30,99.990845,33.360759,7.7426
336,45,99.984741,33.362747,7.7459
336,59,99.984741,33.344249,7.7440
336,74,99.990845,33.307662,7.7553
336,88,99.995422,33.216087,7.7527
336,103,99.984741,33.309040,7.7526
336,118,99.993896,33.378804,7.7430
336,132,99.993896,33.056882,7.7763
336,147,99.987793,33.252039,7.7597
