image,K,num_pixels,psnr_plain_cipher_db,psnr_plain_wrongkey_db,psnr_roundtrip_db
2.2.14,144,1048576,9.5507,9.5494,Inf
2.2.15,144,1048576,9.2720,9.2667,Inf
2.2.16,144,1048576,9.6061,9.6065,Inf
2.2.17,144,1048576,9.3559,9.3559,Inf
2.2.18,144,1048576,9.1832,9.1849,Inf
2.2.19,144,1048576,9.0198,9.0170,Inf
2.2.20,144,1048576,9.3566,9.3551,Inf
2.2.21,144,1048576,8.6021,8.6035,Inf
2.2.22,144,1048576,8.6529,8.6551,Inf
2.2.23,144,1048576,8.7464,8.7492,Inf
2.2.24,144,1048576,9.2731,9.2789,Inf
wash-ir,144,5062500,8.5174,8.5180,Inf
4.1.01,168,65536,7.2652,7.3044,Inf
4.1.02,168,65536,6.2418,6.2620,Inf
4.1.03,168,65536,9.9574,9.9357,Inf
4.1.04,168,65536,8.8342,8.8312,Inf
4.1.05,168,65536,8.9001,8.9132,Inf
4.1.06,168,65536,8.1526,8.1779,Inf
4.1.07,168,65536,8.5743,8.5865,Inf
4.1.08,168,65536,8.6442,8.6578,Inf
4.2.01,168,262144,7.6301,7.6310,Inf
4.2.03,168,262144,8.7733,8.7735,Inf
4.2.05,168,262144,7.9772,7.9830,Inf
4.2.06,168,262144,8.0730,8.0874,Inf
4.2.07,168,262144,8.0758,8.0773,Inf
house,168,262144,8.4753,8.4713,Inf
2.1.01,168,262144,9.4295,9.4102,Inf
2.1.02,168,262144,8.8373,8.8367,Inf
2.1.03,168,262144,8.3653,8.3621,Inf
2.1.04,168,262144,9.3824,9.3743,Inf
2.1.05,168,262144,8.9686,8.9662,Inf
2.1.06,168,262144,9.2319,9.2278,Inf
2.1.07,168,262144,8.7845,8.7752,Inf
2.1.08,168,262144,8.4210,8.4233,Inf
2.1.09,168,262144,8.6944,8.6878,Inf
2.1.10,168,262144,8.6465,8.6467,Inf
2.1.11,168,262144,9.3516,9.3597,Inf
2.1.12,168,262144,8.4433,8.4459,Inf
2.2.01,168,1048576,8.4855,8.4830,Inf
2.2.02,168,1048576,8.7076,8.7109,Inf
2.2.03,168,1048576,8.3749,8.3754,Inf
2.2.04,168,1048576,8.5815,8.5815,Inf
2.2.05,168,1048576,9.4121,9.4132,Inf
2.2.06,168,1048576,8.7909,8.7890,Inf
2.2.07,168,1048576,8.4970,8.4912,Inf
2.2.08,168,1048576,8.5478,8.5469,Inf
2.2.09,168,1048576,8.7068,8.7090,Inf
2.2.10,168,1048576,8.7094,8.7094,Inf
2.2.11,168,1048576,9.1613,9.1609,Inf
2.2.12,168,1048576,9.4372,9.4429,Inf
2.2.13,168,1048576,9.2026,9.2034,Inf
2.2.14,168,1048576,9.5482,9.5487,Inf
2.2.15,168,1048576,9.2723,9.2744,Inf
2.2.16,168,1048576,9.6067,9.6090,Inf
2.2.17,168,1048576,9.3482,9.3533,Inf
2.2.18,168,1048576,9.1841,9.1865,Inf
2.2.19,168,1048576,9.0198,9.0177,Inf
2.2.20,168,1048576,9.3540,9.3570,Inf
2.2.21,168,1048576,8.6047,8.6012,Inf
2.2.22,168,1048576,8.6577,8.6546,Inf
2.2.23,168,1048576,8.7464,8.7470,Inf
2.2.24,168,1048576,9.2716,9.2747,Inf
wash-ir,168,5062500,8.5165,8.5165,Inf
4.1.01,192,65536,7.2710,7.2932,Inf
4.1.02,192,65536,6.2630,6.2454,Inf
4.1.03,192,65536,9.9392,9.9412,Inf
4.1.04,192,65536,8.8203,8.8343,Inf
4.1.05,192,65536,8.9209,8.9190,Inf
4.1.06,192,65536,8.1575,8.1563,Inf
4.1.07,192,65536,8.5899,8.5875,Inf
4.1.08,192,65536,8.6609,8.6397,Inf
4.2.01,192,262144,7.6371,7.6301,Inf
4.2.03,192,262144,8.7736,8.7685,Inf
4.2.05,192,262144,7.9773,7.9828,Inf
4.2.06,192,262144,8.0842,8.0852,Inf
4.2.07,192,262144,8.0736,8.0792,Inf
house,192,262144,8.4751,8.4716,Inf
2.1.01,192,262144,9.4092,9.4196,Inf
2.1.02,192,262144,8.8427,8.8460,Inf
2.1.03,192,262144,8.3557,8.3621,Inf
2.1.04,192,262144,9.3723,9.3761,Inf
2.1.05,192,262144,8.9712,8.9771,Inf
2.1.06,192,262144,9.2308,9.2313,Inf
2.1.07,192,262144,8.7765,8.7749,Inf
2.1.08,192,262144,8.4081,8.4216,Inf
2.1.09,192,262144,8.6872,8.6874,Inf
2.1.10,192,262144,8.6571,8.6395,Inf
2.1.11,192,262144,9.3536,9.3538,Inf
2.1.12,192,262144,8.4439,8.4521,Inf
2.2.01,192,1048576,8.4880,8.4872,Inf
2.2.02,192,1048576,8.7040,8.7158,Inf
2.2.03,192,1048576,8.3734,8.3785,Inf
2.2.04,192,1048576,8.5841,8.5901,Inf
2.2.05,192,1048576,9.4116,9.4201,Inf
2.2.06,192,1048576,8.7900,8.7904,Inf
2.2.07,192,1048576,8.4938,8.4982,Inf
2.2.08,192,1048576,8.5479,8.5479,Inf
2.2.09,192,1048576,8.7088,8.7143,Inf
2.2.10,192,1048576,8.7095,8.7137,Inf
2.2.11,192,1048576,9.1581,9.1640,Inf
2.2.12,192,1048576,9.4399,9.4432,Inf
2.2.13,192,1048576,9.2072,9.2098,Inf
2.2.14,192,1048576,9.5515,9.5496,Inf
2.2.15,192,1048576,9.2724,9.2763,Inf
2.2.16,192,1048576,9.6104,9.6107,Inf
2.2.17,192,1048576,9.3526,9.3572,Inf
2.2.18,192,1048576,9.1856,9.1883,Inf
2.2.19,192,1048576,9.0167,9.0224,Inf
2.2.20,192,1048576,9.3574,9.3567,Inf
2.2.21,192,1048576,8.6040,8.6066,Inf
2.2.22,192,1048576,8.6567,8.6569,Inf
2.2.23,192,1048576,8.7441,8.7530,Inf
2.2.24,192,1048576,9.2728,9.2748,Inf
wash-ir,192,5062500,8.5184,8.5168,Inf
4.1.01,216,65536,7.2937,7.2863,Inf
4.1.02,216,65536,6.2447,6.2543,Inf
4.1.03,216,65536,9.9469,9.9426,Inf
4.1.04,216,65536,8.8258,8.8218,Inf
4.1.05,216,65536,8.9066,8.9202,Inf
4.1.06,216,65536,8.1762,8.1697,Inf
4.1.07,216,65536,8.5851,8.5813,Inf
4.1.08,216,65536,8.6521,8.6520,Inf
4.2.01,216,262144,7.6375,7.6345,Inf
4.2.03,216,262144,8.7714,8.7795,Inf
4.2.05,216,262144,7.9793,7.9775,Inf
4.2.06,216,262144,8.0819,8.0874,Inf
4.2.07,216,262144,8.0663,8.0829,Inf
house,216,262144,8.4818,8.4732,Inf
2.1.01,216,262144,9.4176,9.4130,Inf
2.1.02,216,262144,8.8442,8.8476,Inf
2.1.03,216,262144,8.3596,8.3644,Inf
2.1.04,216,262144,9.3810,9.3821,Inf
2.1.05,216,262144,8.9757,8.9762,Inf
2.1.06,216,262144,9.2203,9.2280,Inf
2.1.07,216,262144,8.7890,8.7843,Inf
2.1.08,216,262144,8.4195,8.4196,Inf
2.1.09,216,262144,8.6852,8.6944,Inf
2.1.10,216,262144,8.6454,8.6507,Inf
2.1.11,216,262144,9.3598,9.3607,Inf
2.1.12,216,262144,8.4411,8.4525,Inf
2.2.01,216,1048576,8.4891,8.4896,Inf
2.2.02,216,1048576,8.7094,8.7122,Inf
2.2.03,216,1048576,8.3720,8.3757,Inf
2.2.04,216,1048576,8.5872,8.5839,Inf
2.2.05,216,1048576,9.4151,9.4164,Inf
2.2.06,216,1048576,8.7895,8.7869,Inf
2.2.07,216,1048576,8.4951,8.4933,Inf
2.2.08,216,1048576,8.5503,8.5457,Inf
2.2.09,216,1048576,8.7100,8.7095,Inf
2.2.10,216,1048576,8.7071,8.7107,Inf
2.2.11,216,1048576,9.1616,9.1611,Inf
2.2.12,216,1048576,9.4411,9.4390,Inf
2.2.13,216,1048576,9.2138,9.2113,Inf
2.2.14,216,1048576,9.5460,9.5466,Inf
2.2.15,216,1048576,9.2664,9.2734,Inf
2.2.16,216,1048576,9.6079,9.6087,Inf
2.2.17,216,1048576,9.3503,9.3600,Inf
2.2.18,216,1048576,9.1845,9.1862,Inf
2.2.19,216,1048576,9.0208,9.0206,Inf
2.2.20,216,1048576,9.3555,9.3553,Inf
2.2.21,216,1048576,8.6051,8.6005,Inf
2.2.22,216,1048576,8.6586,8.6565,Inf
2.2.23,216,1048576,8.7500,8.7477,Inf
2.2.24,216,1048576,9.2785,9.2738,Inf
wash-ir,216,5062500,8.5164,8.5164,Inf
4.1.01,240,65536,7.2797,7.2950,Inf
4.1.02,240,65536,6.2377,6.2438,Inf
4.1.03,240,65536,9.9574,9.9366,Inf
4.1.04,240,65536,8.8388,8.8251,Inf
4.1.05,240,65536,8.8981,8.9041,Inf
4.1.06,240,65536,8.1613,8.1484,Inf
4.1.07,240,65536,8.6033,8.5715,Inf
4.1.08,240,65536,8.6345,8.6277,Inf
4.2.01,240,262144,7.6402,7.6321,Inf
4.2.03,240,262144,8.7857,8.7932,Inf
4.2.05,240,262144,7.9779,7.9838,Inf
4.2.06,240,262144,8.0836,8.0915,Inf
4.2.07,240,262144,8.0719,8.0781,Inf
house,240,262144,8.4705,8.4872,Inf
2.1.01,240,262144,9.4191,9.4250,Inf
2.1.02,240,262144,8.8380,8.8530,Inf
2.1.03,240,262144,8.3567,8.3713,Inf
2.1.04,240,262144,9.3702,9.3813,Inf
2.1.05,240,262144,8.9794,8.9853,Inf
2.1.06,240,262144,9.2136,9.2376,Inf
2.1.07,240,262144,8.7796,8.7931,Inf
2.1.08,240,262144,8.4288,8.4278,Inf
2.1.09,240,262144,8.6896,8.6987,Inf
2.1.10,240,262144,8.6373,8.6592,Inf
2.1.11,240,262144,9.3558,9.3645,Inf
2.1.12,240,262144,8.4541,8.4580,Inf
